Hamburguesa con queso,Hamburguesa,15,6990,Lechuga;Queso;Tomate;Cebolla;Pepinillos;Hamburguesa;Pan
Pizza de peperoni,Pizza,20,7500,Queso;Salsa de tomate;Peperoni;Harina;Ajo;Pan
Ceviche,Pescado,5,7800,Cebolla;Aji;Ajo;Limon;Limon;Limon;Limon;Limon;Limon;Limon;Cilantro
Pescado Frito,Pescado,12,5200,Pescado;Tomate;Cebolla;Papas;Mantequilla;Papas
Pad Thai,Tallarines,22,9800,Tallarines;Salsa tamarindo
Hamburguesa DCC,Hamburguesa,18,8990,Lechuga;Queso;Tomate;Cebolla;Aji;Pepinillos;Hamburguesa;Bacon;Salsa Especial DCC;Pan
Hot Dog Italiano,Completos,4,3000,Vienesa;Tomate;Palta;Mayo;Pan;Pan;Pan
Hot Dog Completo,Completos,4,3200,Vienesa;Tomate;Chucrut;Mayo;Tomate;Pan
Fettuchini al pesto,Tallarines,15,5500,Ajo;Aceite;Albahaca;Aceite;Nozes;Harina
Gnocchi al pomodoro,Tallarines,18,5500,Papas;Salsa de tomate;Ajo;Papas;Salsa de tomate
Spaghetti aglio e olio,Tallarines,10,4500,Harina;Ajo;Aceite;Harina
Hamburguesa Grillada,Hamburguesa,16,1490,Pan;Grillos;Grillos;Hamburguesa;Salsa Especial DCC;Grillos